timestamp,company,application,log_level,endpoint,status_code,response_time_ms,message,user_id
17-08-2025 23:08,Tcs,CRM,ERROR,/api/payrolls,401,1160,Unauthorized access attempt,emp_9396
17-08-2025 23:09,Accenture,Finance,ERROR,/api/orders,500,1854,Internal server error,emp_2708
17-08-2025 23:10,Wipro,HRMS,DEBUG,/api/attendence,200,1507,Request Successfull,emp_4117
17-08-2025 23:11,Infosys,HRMS,ERROR,/api/login,400,1996,Bad request - Invalid Input,emp_3616
17-08-2025 23:12,IBM,ERP,ERROR,/api/orders,502,1004,Bad gateway,emp_4342
17-08-2025 23:13,IBM,Finance,WARN,/api/login,200,659,Request Successfull,emp_5910
17-08-2025 23:14,Tech Mahindra,Inventory,DEBUG,/api/tickets,200,2233,Request Successfull,emp_4263
17-08-2025 23:15,HCL,HRMS,ERROR,/api/attendence,503,811,Service unavailable,emp_1336
17-08-2025 23:16,HCL,HRMS,ERROR,/api/invoice,400,1357,Bad request - Invalid Input,emp_7221
17-08-2025 23:17,Accenture,Ticketing,ERROR,/api/invoice,502,1021,Bad gateway,emp_4342
17-08-2025 23:18,Tcs,Inventory,WARN,/api/orders,200,2902,Request Successfull,emp_8737
17-08-2025 23:19,HCL,HRMS,ERROR,/api/invoice,401,1264,Unauthorized access attempt,emp_4926
17-08-2025 23:20,IBM,Inventory,DEBUG,/api/invoice,200,2586,Request Successfull,emp_5920
17-08-2025 23:21,Infosys,Ticketing,ERROR,/api/employees,404,422,Resource not found,emp_8100
17-08-2025 23:22,Tech Mahindra,ERP,ERROR,/api/tickets,500,1604,Internal server error,emp_2360
17-08-2025 23:23,Cognizant,API-Gateway,DEBUG,/api/payrolls,200,2801,Request Successfull,emp_1292
17-08-2025 23:24,Cognizant,ERP,DEBUG,/api/invoice,200,1951,Request Successfull,emp_4645
17-08-2025 23:25,Tcs,HRMS,ERROR,/api/tickets,401,779,Unauthorized access attempt,emp_6388
17-08-2025 23:26,Infosys,API-Gateway,ERROR,/api/invoice,500,1250,Internal server error,emp_4402
17-08-2025 23:27,Cognizant,Ticketing,INFO,/api/logout,200,2645,Request Successfull,emp_8494
17-08-2025 23:28,Accenture,ERP,ERROR,/api/invoice,502,77,Bad gateway,emp_5232
17-08-2025 23:29,IBM,Inventory,INFO,/api/tickets,200,925,Request Successfull,emp_9577
17-08-2025 23:30,Tech Mahindra,Inventory,WARN,/api/logout,200,1879,Request Successfull,emp_7281
17-08-2025 23:31,Tcs,CRM,DEBUG,/api/payrolls,200,498,Request Successfull,emp_6377
17-08-2025 23:32,Tech Mahindra,API-Gateway,ERROR,/api/attendence,503,2512,Service unavailable,emp_4027
17-08-2025 23:33,Cognizant,HRMS,WARN,/api/payrolls,200,173,Request Successfull,emp_5691
17-08-2025 23:34,IBM,CRM,DEBUG,/api/payrolls,200,953,Request Successfull,emp_1899
17-08-2025 23:35,HCL,Inventory,DEBUG,/api/invoice,200,412,Request Successfull,emp_6626
17-08-2025 23:36,HCL,Finance,WARN,/api/invoice,200,2690,Request Successfull,emp_6596
17-08-2025 23:37,IBM,HRMS,ERROR,/api/payrolls,401,1575,Unauthorized access attempt,emp_8992
17-08-2025 23:38,Tcs,Finance,ERROR,/api/tickets,503,902,Service unavailable,emp_6657
17-08-2025 23:39,IBM,Inventory,ERROR,/api/invoice,404,291,Resource not found,emp_4841
17-08-2025 23:40,Tech Mahindra,Finance,DEBUG,/api/employees,200,2184,Request Successfull,emp_1816
17-08-2025 23:41,IBM,CRM,ERROR,/api/logout,403,2056,Forbidden resource access,emp_1753
17-08-2025 23:42,HCL,Finance,DEBUG,/api/login,200,1440,Request Successfull,emp_7925
17-08-2025 23:43,Accenture,HRMS,ERROR,/api/attendence,503,905,Service unavailable,emp_7195
17-08-2025 23:44,Cognizant,HRMS,DEBUG,/api/logout,200,142,Request Successfull,emp_5681
17-08-2025 23:45,Tcs,Finance,ERROR,/api/logout,500,1629,Internal server error,emp_3918
17-08-2025 23:46,Cognizant,API-Gateway,ERROR,/api/orders,401,2194,Unauthorized access attempt,emp_7410
17-08-2025 23:47,Cognizant,ERP,WARN,/api/payrolls,200,1297,Request Successfull,emp_1495
17-08-2025 23:48,HCL,HRMS,ERROR,/api/tickets,404,296,Resource not found,emp_1026
17-08-2025 23:49,Tech Mahindra,ERP,ERROR,/api/login,502,1030,Bad gateway,emp_5022
